Code,Authors,Title,Year,Journal,DOI,DocumentType,Decision,Reason,IntegrationType,SpatialScale,MethodType,InteractionDirection,ConnectivityFocus,Notes
P11,Baek S.-Y.; Zedrosser A.; Yamazaki K.; Goto Y.; Takekoshi N.; Koike S.,Risky behavior of Asian black bears differs between sex and season in a landscape fragmented by roads,2025,Journal of Zoology,10.1111/jzo.70022,Article,accepted,"The paper investigates the impact of roads on Asian black bears, analyzing their behavior and home ranges in a fragmented landscape. It directly links road infrastructure to animal movement and risk-taking, fitting the scope.",analytical,regional,empirical,transport_to_ecosystem,partial,"Focuses on movement barriers and risk avoidance due to roads, which relates to connectivity."
P12,Greenspan E.; Montgomery C.; Stokes D.; K'lu S.S.; Moo S.S.B.; Anile S.; Giordano A.J.; Nielsen C.K.,"Occupancy, density, and activity patterns of a Critically Endangered leopard population on the Kawthoolei-Thailand border",2023,Population Ecology,10.1002/1438-390X.12148,Article,rejected,"While the paper discusses habitat fragmentation and anthropogenic impacts on leopards, it does not specifically analyze or model the relationship with road networks. The focus is on density, occupancy, and activity patterns influenced by elevation, prey abundance, and distance from roads in a general sense, not road infrastructure as a primary driver of connectivity.",unclear,regional,empirical,unclear,no,"Roads are mentioned as an anthropogenic factor influencing occupancy, but not analyzed in terms of connectivity modeling."
P13,Mukomberanwa N.T.; Taru P.; Utete B.; Ngorima P.; Madamombe H.K.,Landscape Connectivity Modelling for the African Savannah Elephant With Spatial Absorbing Markov Chain and Predicting the Regenerative Power of the Range in a Mesic Protected Area,2025,African Journal of Ecology,10.1111/aje.70034,Article,accepted,The paper models landscape connectivity for African savannah elephants using Spatial Absorbing Markov Chain and considers human activities like infrastructure development as a cause of habitat fragmentation. It explicitly aims to model dispersal and identify connectivity nodes within fragmented landscapes.,strong_coupling,regional,modeling,transport_to_ecosystem,yes,Uses SAMC to model connectivity and considers infrastructure development as a driver of fragmentation.
P14,Barnick K.A.; Green A.M.; Pendergast M.E.; Şekercioğlu Ç.H.,"The effects of human development, environmental factors, and a major highway on mammalian community composition in the Wasatch Mountains of northern Utah, USA",2022,Conservation Science and Practice,10.1111/csp2.12708,Article,accepted,"This study quantifies the effects of a major highway and human development on mammalian community composition. It directly investigates the influence of a road and human development on wildlife, including habitat usage and community composition.",analytical,regional,modeling,transport_to_ecosystem,partial,Examines the impact of a highway on mammalian community composition and habitat usage.
P15,Santibañez F.; Sabatino M.; Garibaldi L.A.,Searching to improve connectivity in fragmented landscapes: Road verges as complementary habitats,2024,Applied Vegetation Science,10.1111/avsc.12773,Article,accepted,The paper assesses the importance of road verges in maintaining ecological connectivity for plant species assemblages in a fragmented landscape. It uses graph theory to quantify connectivity and explicitly includes road verges as landscape elements.,analytical,regional,modeling,transport_to_ecosystem,yes,Focuses on road verges as complementary habitats for connectivity.
P16,Ashjaee A.; Monavari S.M.; Harsini J.I.; Robati M.; Azizi Z.; Salmanmahiny A.,Developing an integrated urban growth prediction model: a scenario-based approach for the conservation of protected areas,2025,International Journal of Environmental Science and Technology,10.1007/s13762-024-06298-w,Article,accepted,"This paper develops an urban growth prediction model that incorporates road gravity as a coefficient, aiming to manage the impact of urban sprawl on protected areas. It models the influence of roads on land use changes and their subsequent impact on habitat.",strong_coupling,regional,modeling,transport_to_ecosystem,partial,"Road gravity is a key factor in predicting urban growth and its impact on protected areas, implying connectivity effects."
P17,Rezaei S.; Mohammadi A.; Malakoutikhah S.; Khosravi R.,"Combining multiscale niche modeling, landscape connectivity, and gap analysis to prioritize habitats for conservation of striped hyaena (Hyaena hyaena)",2022,PLoS ONE,10.1371/journal.pone.0260807,Article,accepted,"The study combines niche modeling, landscape connectivity, and gap analysis for the striped hyaena, explicitly mentioning road vehicle collisions and direct killing as threats. It aims to identify habitats and corridors and delineate strategies for human-striped hyaena coexistence.",analytical,regional,modeling,transport_to_ecosystem,yes,Identifies threats from road vehicle collisions and aims to improve connectivity for coexistence.
P18,Cork N.A.; Fisher R.S.; Strong N.; Ferranti E.J.S.; Quinn A.D.,A systematic review of factors influencing habitat connectivity and biodiversity along road and rail routes in temperate zones,2024,Frontiers in Environmental Science,10.3389/fenvs.2024.1369072,Review,accepted,This is a systematic review that considers the role of transportation corridors (road and rail) in habitat connectivity within temperate zones. It covers various aspects of how these corridors influence connectivity.,conceptual,regional,review,transport_to_ecosystem,yes,Systematic review on transportation corridors and habitat connectivity.
P19,Bacar F.F.,Forest habitat loss diminishes the landscape connectivity in a biodiversity hotspot,2025,Biodiversity and Conservation,10.1007/s10531-025-03024-x,Article,accepted,"The paper investigates the spatiotemporal dynamics of forest loss and its effects on landscape connectivity, noting that deforestation decreased with distance from roads. It uses graph theory to evaluate changes in landscape connectivity.",analytical,regional,modeling,transport_to_ecosystem,yes,"Analyzes forest loss and its impact on connectivity, with distance from roads as a factor."
P20,Tiang Chin Fung D.; van der Ree R.; McCaffrey N.; Gibbins C.; Lechner A.M.,Ecological connectivity in environmental impact assessments: modelling alternative highway bypass scenarios,2023,Impact Assessment and Project Appraisal,10.1080/14615517.2023.2237294,Article,accepted,"This study applies a connectivity model with scenario analysis of alternative road alignments for a road bypass, explicitly addressing the impact of road building on biodiversity and ecological connectivity. It models different species' dispersal abilities and assesses mitigation options.",strong_coupling,local,modeling,transport_to_ecosystem,yes,Models alternative highway scenarios and their impact on ecological connectivity for different species.
P21,Abedin I.; Kamalakannan M.; Mukherjee T.; Singha H.; Banerjee D.; Kim H.-W.; Kundu S.,Eco-Spatial Modeling of Two Giant Flying Squirrels (Sciuridae: Petaurista): Navigating Climate Resilience and Conservation Roadmap in the Eastern Himalaya and Indo-Burma Biodiversity Hotspots,2025,Life,10.3390/life15040589,Article,accepted,"The paper models habitat suitability and connectivity for flying squirrels, considering climate change and habitat fragmentation. While it doesn't explicitly model roads, it discusses limited biological corridor connectivity and the need for habitat corridor evaluations, implying roads as a potential factor in fragmentation.",analytical,regional,modeling,unclear,yes,"Focuses on climate change impacts on connectivity, but mentions limited corridor connectivity which could be influenced by infrastructure."
P22,Craft H.E.; Fouad G.; Sterrett S.C.,Statewide prioritization of vernal pools for pond-breeding amphibians in New Jersey,2023,Journal of Environmental Management,10.1016/j.jenvman.2023.117847,Article,accepted,"This paper directly assesses the impact of roads and habitat fragmentation on vernal pools and amphibian migration, prioritizing areas for preservation based on these factors. It explicitly links road presence to habitat fragmentation and amphibian population management.",analytical,regional,modeling,transport_to_ecosystem,yes,Directly links roads to habitat fragmentation and amphibian population health.
P23,Yan J.; Fan S.; Tian G.; Mu T.; Liu H.; Zhang Y.; Mu B.,Assessing and Optimizing the Connectivity of the Outdoor Green Recreation Network in Zhengzhou from the Perspective of Green Travel,2024,Land,10.3390/land13122085,Article,accepted,"The study assesses the connectivity of an outdoor green recreation network considering human green travel, incorporating road network data into the cost surface analysis for human movement. While the primary focus is human recreation, it models connectivity influenced by infrastructure.",analytical,local,modeling,transport_to_ecosystem,partial,"Focuses on human recreation connectivity, but uses road network data as a factor influencing it."
P24,Lu S.; Yue Y.; Wang Y.; Zhang D.; Yang B.; Yu Z.; Lin H.; Dai Q.,The Factors Influencing Wildlife to Use Existing Bridges and Culverts in Giant Panda National Park,2023,Diversity,10.3390/d15040487,Article,accepted,"This paper empirically investigates the utilization of bridges and culverts by wildlife as passages, directly assessing the effectiveness of road infrastructure in facilitating or hindering wildlife movement and connectivity.",analytical,local,empirical,transport_to_ecosystem,yes,Directly studies wildlife use of road crossing structures.
P25,Rimmer L.L.H.; Clark S.R.; Schaefer J.F.,Assessing and Optimizing a Rapid Road-Crossing Protocol for Aquatic Organismal Passage,2025,River Research and Applications,10.1002/rra.70017,Article,accepted,"The study assesses a protocol for road-crossing assessments for aquatic organisms, aiming to mitigate fragmentation effects of road crossing culverts. It directly links road infrastructure to aquatic organism passage and fragmentation.",analytical,local,empirical,transport_to_ecosystem,yes,Focuses on aquatic organism passage and road culverts as barriers.
P26,Tsiotas D.; Kantartzis A.; Kolkos G.; Lemonakis P.; Arabatzis G.,A modularity total environment network model for sustainable forest transportation,2023,Euro-Mediterranean Journal for Environmental Integration,10.1007/s41207-023-00410-1,Article,accepted,"This paper develops a network model for sustainable forest transportation, explicitly stating that forest road network planning can prevent wildlife habitat fragmentation. It uses a network approach to analyze the interaction between forest roads and the environment, including wildlife habitat.",analytical,regional,modeling,transport_to_ecosystem,yes,Models forest transportation networks and their impact on habitat fragmentation.
P27,Liu Z.; Li Y.; Wang X.,Global Evolution and Methodological Trends in River and Lake Health Research (1991–2024): A Bibliometric and Systematic Review,2026,Diversity,10.3390/d18020071,Review,rejected,"The paper is a review of river and lake health research. While it mentions ecological connectivity and transboundary lakes under climate change, it does not specifically address road or transport infrastructure.",unclear,unclear,review,unclear,partial,"Focuses on aquatic ecosystems and connectivity, but not in relation to transport infrastructure."
P28,Bastianelli M.L.; Heeres J.; Götz M.; Jerosch S.; Simon O.; Lang J.; Nava T.; Streif S.; Thiel-Bender C.; Middelhoff T.L.; Anders O.; Twietmeyer S.; Cagnacci F.; Dormann C.F.; Ciuti S.; Premier J.; Bhardwaj M.; Heurich M.,Road mortality risk of a protected felid across fragmented and heterogeneous landscapes in Central Europe,2025,Journal of Environmental Management,10.1016/j.jenvman.2025.128152,Article,accepted,"This study assesses wildcat-vehicle collision risk across Germany, analyzing how traffic, landscape features, and road characteristics influence road mortality and habitat fragmentation. It maps collision risk and suggests interventions for wildlife persistence.",analytical,supraregional,modeling,transport_to_ecosystem,yes,Directly models road mortality risk for a protected felid and its relation to habitat fragmentation.
P29,Sutor S.; McIntyre N.E.; Griffis-Kyle K.L.,"Vegetation cover, topography, and low-traffic roads influence Sonoran desert tortoise (Gopherus morafkai) movement and habitat selection",2024,Movement Ecology,10.1186/s40462-024-00503-8,Article,accepted,"The paper investigates how landscape features, including low-traffic roads, influence Sonoran desert tortoise movement and habitat selection, aiming to mitigate impacts of habitat fragmentation caused by anthropogenic activities. It identifies roads as features that can discourage or restrict movement.",analytical,local,empirical,transport_to_ecosystem,yes,"Examines how roads affect tortoise movement and habitat selection, impacting connectivity."
P30,Ma B.; Chen Z.-A.; Wei X.; Li X.; Zhang L.,Comparative ecological network pattern analysis: a case of Nanchang,2022,Environmental Science and Pollution Research,10.1007/s11356-021-17808-5,Article,accepted,"This study compares methods for analyzing ecological networks and identifies barriers, noting that roads and construction land are common barriers. It aims to optimize ecological network patterns to enhance biodiversity and sustainable development.",analytical,local,modeling,transport_to_ecosystem,yes,Identifies roads as barriers in ecological networks and aims to optimize connectivity.
P31,Winkel B.M.; Nielsen C.K.; Hillard E.M.; Sutherland R.W.; LaRue M.A.,Potential cougar habitats and dispersal corridors in Eastern North America,2023,Landscape Ecology,10.1007/s10980-022-01538-1,Article,accepted,"The paper models potential cougar habitats and dispersal corridors using landcover, slope, human density, distance to roads, and distance to water, directly linking transport infrastructure (roads) with habitat connectivity for a species.",analytical,supraregional,modeling,transport_to_ecosystem,yes,"Uses least-cost path methods to model dispersal corridors, considering distance to roads as a variable."
P32,Kati V.; Spiliopoulou K.; Stefanidis A.; Kassara C.,"Sacrificing Wilderness for Renewables? Land Artificialization from Inadequate Spatial Planning of Wind Energy in Evvoia, Greece",2025,Land,10.3390/land14061296,Article,accepted,"The paper discusses the impact of a wind power project on land artificialization, land take, and habitat fragmentation, including the loss of roadless areas, directly linking infrastructure development with ecological connectivity.",conceptual,regional,conceptual,transport_to_ecosystem,yes,"Focuses on the negative impacts of infrastructure development (wind power project, implied roads) on habitat fragmentation and connectivity."
P33,Papp C.-R.; Dostál I.; Hlaváč V.; Berchi G.M.; Romportl D.,Rapid linear transport infrastructure development in the Carpathians: A major threat to the integrity of ecological connectivity for large carnivores,2022,Nature Conservation,10.3897/natureconservation.47.71807,Review,accepted,"The paper explicitly addresses the threat of rapid linear transport infrastructure development to ecological connectivity for large carnivores in the Carpathians, discussing habitat fragmentation and the lack of integration between transport development and nature conservation.",conceptual,supraregional,conceptual,transport_to_ecosystem,yes,"Highlights the conflict between transport infrastructure development and ecological connectivity, proposing recommendations for better integration."
P34,González-Gallina A.; Rizo-Aguilar A.; González-Zariñana B.; Equihua M.; Hidalgo-Mihart M.,Bats underneath: assessing neotropical bat use of highway underpasses using photo-trapping; [Murciélagos debajo: Evaluación del uso de pasos subterráneos en una carretera por murciélagos neotropicales utilizando foto-trampeo],2025,Journal of Mammalogy,10.1093/jmammal/gyaf071,Article,accepted,"The paper assesses bat use of highway underpasses, directly investigating how transport infrastructure (highways) affects wildlife movement and connectivity for bats.",analytical,regional,empirical,transport_to_ecosystem,yes,"Empirically studies the use of highway underpasses by bats, assessing a form of connectivity mitigation."
P35,Cole J.R.; Kross A.; Jaeger J.A.G.,Monitoring changes in landscape structure in the Adirondack-to-Laurentians (A2L) transboundary wildlife linkage between 1992 and 2018: Identifying priority areas for conservation and restoration,2023,Landscape Ecology,10.1007/s10980-022-01561-2,Article,accepted,"The paper monitors changes in landscape structure and fragmentation, including road density, within a transboundary wildlife linkage, identifying priority areas for conservation and restoration to maintain landscape connectivity.",analytical,supraregional,empirical,transport_to_ecosystem,yes,Measures road density as an indicator of landscape fragmentation and its impact on connectivity.
P36,Fischer C.; Hanslin H.M.; Hovstad K.A.; D'Amico M.; Kollmann J.; Kroeger S.B.; Bastianelli G.; Habel J.C.; Rygne H.; Lennartsson T.,The contribution of roadsides to connect grassland habitat patches for butterflies in landscapes of contrasting permeability,2022,Journal of Environmental Management,10.1016/j.jenvman.2022.114846,Article,accepted,"The paper models the connectivity provided by roadsides for butterflies, assessing how these linear features can act as corridors and influence habitat connectivity in landscapes with varying permeability.",strong_coupling,regional,modeling,transport_to_ecosystem,yes,"Uses circuit theory to model connectivity provided by roadsides, integrating road features into connectivity models."
P37,Vaissi S.; Mohammadi A.,Landscape fragmentation and spatial ecology of the yellow-spotted mountain newt (Neurergus derjugini) in the context of climate and land use change (2002–2024),2025,Global Ecology and Conservation,10.1016/j.gecco.2025.e03884,Article,accepted,"The study evaluates habitat suitability and connectivity for a newt species, identifying fragmentation caused by roads and infrastructure as a significant threat to gene flow and connectivity.",analytical,regional,modeling,transport_to_ecosystem,yes,Identifies roads and infrastructure as significant threats to connectivity and gene flow.
P38,"Mayer A.E.; McGreevy T.J., Jr.; Brown C.; Ganoe L.S.; Gerber B.D.",Transient persistence of bobcat (Lynx rufus) occurrence throughout a human-dominated landscape,2022,Population Ecology,10.1002/1438-390X.12123,Article,accepted,"The paper investigates bobcat occupancy dynamics in a human-dominated landscape, finding that increasing road density negatively influences colonization and that forest cover and road density negatively influence detection, impacting habitat connectivity.",analytical,regional,empirical,transport_to_ecosystem,yes,"Assesses the negative influence of road density on bobcat occupancy and colonization, implying impacts on connectivity."
P39,Almasieh K.; Rouhi H.; Hasti F.,Identifying core habitats and connectivity paths for the conservation of mouflon (Ovis gmelini) in Western Iran,2023,Global Ecology and Conservation,10.1016/j.gecco.2023.e02377,Article,accepted,"The study models habitat suitability and connectivity for mouflon, identifying distance to roads as an influential variable and suggesting that predicted corridors crossed by roads should be investigated for conservation.",analytical,regional,modeling,transport_to_ecosystem,yes,Includes distance to roads as a variable in habitat suitability and connectivity modeling.
P40,Karanasios P.I.; Schmeller D.S.; Hsu Z.-T.; Lin Y.-P.,Precise roadkill environmental factors identification for sustainable planning and design through spatial and temporal modelling,2026,Nature Conservation,10.3897/natureconservation.61.171624,Article,accepted,"The paper identifies precise roadkill environmental factors for anurans using spatial and temporal modeling, highlighting the role of roads in habitat fragmentation and amphibian mortality, and developing a framework for ecological planning.",strong_coupling,regional,modeling,transport_to_ecosystem,yes,"Focuses on roadkill as a direct impact of roads on species, linking it to habitat fragmentation and planning for mitigation."
P41,Vaissi S.; Mohammadi A.,"Habitat and connectivity-based conservation strategies for the vulnerable Lorestan newt (Neurergus kaiseri) in the Zagros Mountains, Iran",2025,Journal of Wildlife Management,10.1002/jwmg.70007,Article,accepted,"The paper analyzes the impact of roads on habitat connectivity for a vulnerable species, using species distribution models and connectivity simulations. It directly addresses the interaction between infrastructure and biodiversity connectivity.",analytical,regional,modeling,transport_to_ecosystem,yes,Focuses on fragmentation threats from roads and dams.
P42,Tolkachev O.,Impermeable landscape barrier does not affect the dispersion of small mammals after long-distance movement on a scale of hundreds of metres,2023,Mammalian Biology,10.1007/s42991-023-00355-6,Article,accepted,"This study investigates the effect of an impermeable road barrier on small mammal movement and dispersion, directly linking infrastructure to ecological connectivity (or lack thereof).",analytical,local,empirical,transport_to_ecosystem,yes,Examines movement patterns in relation to a road barrier.
P43,Munishi L.,Tanzania: The Eastern Arc Mountains Forests as World Natural Heritage—Status and Future Prospects,2025,Ecological Connectivity of Forest Ecosystems,10.1007/978-3-031-82206-3_35,Book chapter,accepted,"The abstract explicitly mentions maintaining forest connectivity for biodiversity conservation in response to increasing land development and road networks, highlighting the interaction between infrastructure and connectivity.",conceptual,regional,review,transport_to_ecosystem,yes,Discusses connectivity in the context of land development and road networks.
P44,Rezvani A.; Lorestani N.; Nematollahi S.; Hemami M.-R.; Ahmadi M.,Should I stay or move? Quantifying landscape of fear to enhance environmental management of road networks in a highly transformed landscape,2024,Journal of Environmental Management,10.1016/j.jenvman.2024.122192,Article,accepted,"This paper quantifies the impact of road networks on habitat connectivity for mountain ungulates using species distribution models, circuit theory, and a road disturbance index. It directly links infrastructure to habitat fragmentation and connectivity.",analytical,regional,modeling,transport_to_ecosystem,yes,Uses multiple indices to assess road impacts on connectivity.
P45,Xu Q.; Jiao J.; Yan Z.; Liao J.; Zhang Z.; Li M.; Yan X.; Chen Y.; Li J.; Jian J.,Response of road erosion to hydrological connectivity under a heavy rainstorm in an agricultural watershed on the Loess Plateau,2024,Catena,10.1016/j.catena.2024.107991,Article,rejected,"This paper focuses on the hydrological impacts of roads on soil erosion, not on biodiversity or ecological connectivity. While it mentions road networks, the ecological aspect is missing.",unclear,local,modeling,unclear,no,"Focus is on road erosion and hydrology, not biodiversity connectivity."
P46,Hou W.; Zhai L.; Walz U.,"Identification of spatial conservation and restoration priorities for ecological networks planning in a highly urbanized region: A case study in Beijing-Tianjin-Hebei, China",2023,Ecological Engineering,10.1016/j.ecoleng.2022.106859,Article,accepted,"The study uses a Least Cost Path model to simulate ecological networks, incorporating disturbance from roads as a factor in the resistance map. It aims to plan conservation and restoration for ecological networks in a region with significant human land use.",analytical,regional,modeling,transport_to_ecosystem,yes,Roads are included as a disturbance factor in an ecological network model.
P47,Chiappero M.B.; Vera N.S.; Sommaro L.V.; Simone I.; Steinmann A.R.; Gardenal C.N.; Priotto J.W.,Effective dispersal and genetic structure of a small mammal in an intensively managed agricultural landscape: is there any barrier to movement?,2023,Evolutionary Ecology,10.1007/s10682-023-10233-9,Article,accepted,"This study investigates how landscape elements, including roads, affect the dispersal and genetic structure of small mammals in an agricultural landscape. It assesses whether roads act as barriers to movement and gene flow.",analytical,regional,empirical,transport_to_ecosystem,yes,Examines the role of roads and other landscape features on dispersal and genetic connectivity.
P48,Hamer A.J.,Exotic predatory fish reduce amphibian reproduction at wetlands in an urbanising landscape,2022,Hydrobiologia,10.1007/s10750-021-04716-5,Article,accepted,"The abstract mentions that the proportion of accessible habitat within 1000m, a measure of the combined effects of roads and habitat amount, positively relates to tadpole occupancy. It also suggests maintaining habitat connectivity to facilitate dispersal.",analytical,local,empirical,transport_to_ecosystem,yes,Roads are considered as part of habitat accessibility influencing amphibian reproduction and connectivity.
P49,Kroeger S.B.; Hanslin H.M.; Lennartsson T.; D'Amico M.; Kollmann J.; Fischer C.; Albertsen E.; Speed J.D.M.,"Impacts of roads on bird species richness: A meta-analysis considering road types, habitats and feeding guilds",2022,Science of the Total Environment,10.1016/j.scitotenv.2021.151478,Article,accepted,"This meta-analysis assesses the impacts of roads on bird species richness, considering various factors. While it doesn't directly model connectivity, it analyzes how road presence affects bird communities, which is relevant to habitat fragmentation and potential connectivity issues.",analytical,multiple,review,transport_to_ecosystem,partial,"Focuses on road impacts on bird richness, implying effects on habitat use and potential connectivity."
P50,Danilović M.; Weinländer M.; Marguč D.; Bányai Z.; András W.; Füreder L.; Maguire I.,"Riverscape analysis and habitat suitability modeling for conservation management of native crayfish species – A case study from Croatia, Slovenia and Hungary",2025,Journal for Nature Conservation,10.1016/j.jnc.2024.126770,Article,accepted,"The study calculates a threat index for native crayfish species that includes fragmentation, distances to NICS populations, urban settlements, and roads. It assesses habitat suitability and fragmentation caused by barriers, including roads.",analytical,regional,modeling,transport_to_ecosystem,yes,Roads are included as a threat factor contributing to fragmentation and impacting habitat suitability for crayfish.
P51,Zhang Y.; Lu M.; Ma W.; Meng Q.; Li Z.; Wu Y.,"Urban multi-scale ecological network sequence and spatial structure optimization: A case study in Nanjing city, China",2024,Ecological Indicators,10.1016/j.ecolind.2024.112622,Article,accepted,"The paper discusses urban ecological networks and spatial structure optimization, identifying ecological corridors and barriers, including those related to roads. It focuses on integrating multi-scale ecological networks.",analytical,regional,modeling,unclear,yes,"The paper mentions 'ecological barrier points are generally distributed in the combination area among the urban block, village and road', indicating a link between roads and connectivity, but the primary focus is on ecological networks rather than the direct modeling of road impacts."
P52,de Rivera C.E.; Bliss-Ketchum L.L.; Lafrenz M.D.; Hanson A.V.; McKinney-Wise L.E.; Rodriguez A.H.; Schultz J.; Simmons A.L.; Taylor Rodriguez D.; Temple A.H.; Wheat R.E.,Visualizing Connectivity for Wildlife in a World Without Roads,2022,Frontiers in Environmental Science,10.3389/fenvs.2022.757954,Article,accepted,The paper explicitly models the impact of roads on wildlife connectivity for different species by comparing connectivity models with and without road barriers. It uses Omniscape to model connectivity.,strong_coupling,regional,modeling,transport_to_ecosystem,yes,"The study models connectivity with and without roads, directly assessing the barrier effect of roads on wildlife movement."
